,Platform Info
817,['iOS (iPhone/iPad)']
818,['PC']
819,['PlayStation 2']
820,['Nintendo Switch']
821,['Nintendo Switch']
822,['Xbox Series X']
823,['Xbox One']
824,['Nintendo Switch']
825,['PC']
826,['PC']
827,['Wii']
828,['PC']
829,['PC']
830,['iOS (iPhone/iPad)']
832,['PC']
833,['PC']
834,['3DS']
835,['PC']
836,['Xbox']
837,['GameCube']
838,['PC']
839,['PC']
840,['PlayStation 4']
841,['Nintendo Switch']
842,['Game Boy Advance']
843,['PlayStation 4']
844,['DS']
845,['iOS (iPhone/iPad)']
846,['Xbox 360']
847,['PC']
848,['PC']
849,['Xbox 360']
850,['PC']
851,['PlayStation 4']
852,['PlayStation 5']
853,['PlayStation 3']
854,['iOS (iPhone/iPad)']
855,['PlayStation 2']
856,['PlayStation 4']
857,['PC']
858,['PC']
859,['Wii']
860,['PC']
861,['PC']
862,['DS']
863,['PlayStation 4']
864,['PlayStation']
865,['Xbox One']
866,['PC']
867,['PlayStation 4']
868,['Xbox 360']
869,['PC']
870,['Xbox 360']
871,['PC']
872,['PlayStation Vita']
873,['iOS (iPhone/iPad)']
874,['PlayStation 2']
875,['PlayStation 4']
876,['GameCube']
877,['iOS (iPhone/iPad)']
878,['PlayStation 2']
879,['PC']
880,['PSP']
881,['Xbox 360']
882,['PC']
883,['PlayStation 2']
884,['PC']
885,['Xbox 360']
886,['PC']
887,['PC']
888,['Dreamcast']
889,['PlayStation 2']
890,['Nintendo Switch']
891,['PlayStation 4']
892,['Nintendo Switch']
893,['PSP']
894,['PC']
895,['GameCube']
896,['PlayStation 4']
897,['PlayStation 3']
898,['PlayStation 3']
899,['PlayStation 4']
900,['PC']
901,['PC']
902,['Dreamcast']
903,['3DS']
904,['PC']
905,['GameCube']
906,['Wii']
907,['PlayStation 4']
908,['Game Boy Advance']
909,['PlayStation 4']
910,['Wii']
911,['iOS (iPhone/iPad)']
912,['PlayStation']
913,['PC']
914,['iOS (iPhone/iPad)']
915,['PC']
916,['PlayStation 2']
917,['PlayStation 4']
918,['Nintendo 64']
919,['Wii']
920,['PC']
921,['iOS (iPhone/iPad)']
922,['PC']
923,['PC']
924,['PlayStation 3']
925,['Xbox']
926,['PC']
927,['Game Boy Advance']
928,['3DS']
929,['PC']
930,['iOS (iPhone/iPad)']
931,['PC']
932,['PlayStation 4']
933,['Nintendo Switch']
934,['iOS (iPhone/iPad)']
935,['Nintendo Switch']
936,['Xbox']
937,['PlayStation 4']
938,['PC']
939,['PC']
940,['PC']
941,['Xbox']
942,['PC']
943,['iOS (iPhone/iPad)']
944,['Nintendo Switch']
945,['Game Boy Advance']
946,['PC']
947,['3DS']
948,['iOS (iPhone/iPad)']
949,['DS']
950,['PC']
951,['DS']
952,['iOS (iPhone/iPad)']
953,['PC']
954,['PC']
955,['PC']
956,['Nintendo 64']
957,['PC']
958,['iOS (iPhone/iPad)']
959,['PC']
960,['PlayStation 4']
961,['3DS']
962,['iOS (iPhone/iPad)']
963,['PlayStation']
964,['DS']
965,['Xbox']
966,['Nintendo Switch']
967,['PC']
968,['iOS (iPhone/iPad)']
969,['Xbox 360']
970,['Xbox 360']
971,['PC']
972,['PlayStation 3']
973,['Xbox One']
974,['PlayStation 3']
975,['PC']
976,['Game Boy Advance']
977,['PlayStation 5']
978,['PC']
979,['PC']
980,['PlayStation 4']
981,['PC']
982,['PlayStation 4']
983,['Nintendo Switch']
984,['PC']
985,['PlayStation 4']
986,['PC']
987,['PlayStation 3']
988,['3DS']
989,['PC']
990,['Xbox 360']
991,['PC']
992,['Xbox 360']
993,['Xbox 360']
994,['PSP']
995,['DS']
996,['DS']
997,['PlayStation 3']
998,['PC']
999,['PC']
1000,['Xbox']
1001,['Dreamcast']
1002,['PlayStation 4']
1003,['PC']
1004,['PC']
1005,['PC']
1006,['Xbox']
1007,['PlayStation 4']
1008,['PlayStation 4']
1009,['PlayStation 3']
1010,['iOS (iPhone/iPad)']
1011,['PC']
1012,['PC']
1013,['PlayStation 3']
1014,['Xbox One']
1015,['PlayStation 5']
1016,['PSP']
1017,['PC']
1018,['PlayStation 4']
1019,['PlayStation Vita']
1020,['Wii']
1021,['PlayStation 5']
1022,['PC']
1023,['PC']
1024,['DS']
1025,['iOS (iPhone/iPad)']
1026,['PlayStation 3']
1027,['PC']
1028,['PSP']
1029,['PC']
1030,['PC']
1031,['PC']
1032,['PlayStation Vita']
1033,['PC']
1034,['PC']
1035,['PlayStation 4']
1036,['Xbox One']
1037,['PC']
1038,['PC']
1039,['PlayStation 3']
1040,['3DS']
1041,['PlayStation 2']
1042,['Xbox 360']
1043,['PC']
1044,['PlayStation 2']
1045,['PC']
1046,['Xbox']
1047,['Wii U']
1048,['PC']
1049,['PlayStation 4']
1050,['Nintendo Switch']
1051,['Xbox 360']
1052,['PSP']
1053,['PC']
1054,['Xbox 360']
1055,['PlayStation 4']
1056,['GameCube']
1057,['PC']
1058,['PC']
1059,['PC']
1060,['DS']
1061,['PlayStation 3']
1062,['Wii']
1063,['PlayStation Vita']
1065,['Nintendo Switch']
1066,['PlayStation 4']
1067,['PlayStation 2']
1068,['PC']
1069,['PlayStation 3']
1070,['PC']
1071,['PC']
1072,['PlayStation 5']
1073,['PC']
1074,['iOS (iPhone/iPad)']
1075,['PlayStation 2']
1076,['iOS (iPhone/iPad)']
1077,['3DS']
1078,['Xbox 360']
1079,['PlayStation 2']
1080,['iOS (iPhone/iPad)']
1081,['Nintendo Switch']
1082,['PC']
1083,['PlayStation 4']
1084,['Xbox 360']
1085,['PC']
1086,['PC']
1087,['PlayStation 2']
1088,['DS']
1089,['PC']
1090,['PC']
1091,['PC']
1092,['PC']
1093,['PlayStation Vita']
1094,['PlayStation 3']
1095,['PSP']
1096,['Nintendo Switch']
1097,['Game Boy Advance']
1098,['PC']
1099,['PlayStation 4']
1100,['Xbox']
1101,['PC']
1102,['Xbox One']
1103,['Wii']
1104,['DS']
1105,['Game Boy Advance']
1106,['Xbox 360']
